Duration,Unique viewers,Site visits,ICB
Last 7 days,13,70,BOB
Last 30 days,37,745,BOB
Last 90 days,-,2068,BOB
All time,168,11627,BOB
Last 7 days,10,127,Frimley
Last 30 days,27,584,Frimley
Last 90 days,-,1487,Frimley
All time,54,3149,Frimley
Last 7 days,21,149,HIOW
Last 30 days,46,543,HIOW
Last 90 days,-,1643,HIOW
All time,205,13145,HIOW
Last 7 days,8,59,Somerset
Last 30 days,17,183,Somerset
Last 90 days,-,669,Somerset
All time,64,2147,Somerset
Last 7 days,8,34,Sussex
Last 30 days,12,59,Sussex
Last 90 days,-,243,Sussex
All time,86,2432,Sussex
