Date,Desktop visits,Mobile app visits,Mobile web visits,Tablet visits,Other device visits,ICB
2024-11-04 00:00:00,8,0,0,0,0,Frimley
2024-11-05 00:00:00,3,0,0,0,0,Frimley
2024-11-06 00:00:00,22,0,0,0,0,Frimley
2024-11-07 00:00:00,11,0,0,0,0,Frimley
2024-11-08 00:00:00,10,0,0,0,0,Frimley
2024-11-09 00:00:00,0,0,0,0,0,Frimley
2024-11-10 00:00:00,0,0,0,0,0,Frimley
2024-11-11 00:00:00,6,0,0,0,0,Frimley
2024-11-12 00:00:00,60,0,0,0,0,Frimley
2024-11-13 00:00:00,31,0,0,0,1,Frimley
2024-11-14 00:00:00,14,0,0,0,0,Frimley
2024-11-15 00:00:00,29,0,0,0,0,Frimley
2024-11-16 00:00:00,0,0,0,0,0,Frimley
2024-11-17 00:00:00,0,0,0,0,0,Frimley
2024-11-18 00:00:00,17,0,0,0,0,Frimley
2024-11-19 00:00:00,9,0,0,0,0,Frimley
2024-11-20 00:00:00,7,0,0,0,0,Frimley
2024-11-21 00:00:00,16,0,0,0,0,Frimley
2024-11-22 00:00:00,7,0,0,0,0,Frimley
2024-11-23 00:00:00,0,0,0,0,0,Frimley
2024-11-24 00:00:00,0,0,0,0,0,Frimley
2024-11-25 00:00:00,0,0,0,0,0,Frimley
2024-11-26 00:00:00,0,0,0,0,0,Frimley
2024-11-27 00:00:00,65,0,0,0,0,Frimley
2024-11-28 00:00:00,7,0,0,0,0,Frimley
2024-11-29 00:00:00,2,0,0,0,0,Frimley
2024-11-30 00:00:00,0,0,0,0,0,Frimley
2024-12-01 00:00:00,0,0,0,0,0,Frimley
2024-12-02 00:00:00,0,0,0,0,0,Frimley
2024-12-03 00:00:00,6,0,0,0,0,Frimley
2024-12-04 00:00:00,13,0,0,0,0,Frimley
2024-12-05 00:00:00,0,0,0,0,0,Frimley
2024-12-06 00:00:00,0,0,0,0,0,Frimley
2024-12-07 00:00:00,0,0,0,0,0,Frimley
2024-12-08 00:00:00,0,0,0,0,0,Frimley
2024-12-09 00:00:00,0,0,0,0,0,Frimley
2024-12-10 00:00:00,9,0,0,0,0,Frimley
2024-12-11 00:00:00,0,0,0,0,0,Frimley
2024-12-12 00:00:00,40,0,0,0,0,Frimley
2024-12-13 00:00:00,41,0,0,0,0,Frimley
2024-12-14 00:00:00,0,0,0,0,0,Frimley
2024-12-15 00:00:00,0,0,0,0,0,Frimley
2024-12-16 00:00:00,23,0,0,0,0,Frimley
2024-12-17 00:00:00,1,0,0,0,0,Frimley
2024-12-18 00:00:00,20,0,0,0,0,Frimley
2024-12-19 00:00:00,0,0,0,0,0,Frimley
2024-12-20 00:00:00,0,0,0,0,0,Frimley
2024-12-21 00:00:00,0,0,0,0,0,Frimley
2024-12-22 00:00:00,0,0,0,0,0,Frimley
2024-12-23 00:00:00,1,0,0,0,0,Frimley
2024-12-24 00:00:00,0,0,0,0,0,Frimley
2024-12-25 00:00:00,0,0,0,0,0,Frimley
2024-12-26 00:00:00,0,0,0,0,0,Frimley
2024-12-27 00:00:00,3,0,0,0,0,Frimley
2024-12-28 00:00:00,0,0,0,0,0,Frimley
2024-12-29 00:00:00,0,0,0,0,0,Frimley
2024-12-30 00:00:00,1,0,0,0,0,Frimley
2024-12-31 00:00:00,1,0,0,0,0,Frimley
2025-01-01 00:00:00,12,0,0,0,0,Frimley
2025-01-02 00:00:00,7,0,0,0,0,Frimley
2025-01-03 00:00:00,0,0,0,0,0,Frimley
2025-01-04 00:00:00,0,0,0,0,0,Frimley
2025-01-05 00:00:00,0,0,0,0,0,Frimley
2024-10-09 01:00:00,28,0,0,0,0,HIOW
2024-10-10 01:00:00,43,0,0,0,0,HIOW
2024-10-11 01:00:00,40,0,0,0,0,HIOW
